date,Sales,highlight,annotate
03/08/14,100,,
04/08/14,99.99271316,,
05/08/14,99.92633304,,
06/08/14,99.57769126,,
07/08/14,99.61471012,
08/08/14,99.56355964,,
09/08/14,99.61901663,,
10/08/14,99.82349021,,
11/08/14,99.62691665,,
12/08/14,99.57396941,,
13/08/14,99.57198728,,
14/08/14,99.34214523,,
15/08/14,99.03006599,,
16/08/14,98.8567219,,
17/08/14,98.58733698,,
18/08/14,97.67916286,,
19/08/14,104.82796555,,
20/08/14,98.83265708,,
21/08/14,99.41020802,,
22/08/14,99.72458312,,
23/08/14,99.79264591,,
24/08/14,99.25618618,,
25/08/14,99.147839,,
26/08/14,99.52085106,,
